name,line_num,lat,lng,ride,alight 
약수,3호선,37.55434,127.010655,406676,389533
금호,3호선,37.548034,127.015872,241805,224675
옥수,3호선,37.540685,127.017965,279084,289109
압구정,3호선,37.527072,127.028461,1012867,1105047
신사,3호선,37.516334,127.020114,905593,975901
잠원,3호선,37.512759,127.01122,169997,163801
서울역,공항철도 1호선,37.554648,126.972559,301114,252957
공덕,공항철도 1호선,37.544018,126.951592,46580,58310
홍대입구,공항철도 1호선,37.557192,126.925381,255153,255060
디지털미디어시티,공항철도 1호선,37.576646,126.900984,337279,294963
김포공항,공항철도 1호선,37.562434,126.801058,309431,190556
선릉,분당선,37.504503,127.049008,245817,502455
한티,분당선,37.496237,127.052873,422513,439418
도곡,분당선,37.490858,127.055381,181597,187909
구룡,분당선,37.486839,127.058856,52549,50154
고속터미널,3호선,37.50481,127.004943,1782696,1739757
교대(법원.검찰청),3호선,37.493415,127.01408,406602,274822
남부터미널(예술의전당),3호선,37.485013,127.016189,1060800,1089255
양재(서초구청),3호선,37.484147,127.034631,1152120,1232520
매봉,3호선,37.486947,127.046769,335057,324671
도곡,3호선,37.490858,127.055381,188452,179533
대치,3호선,37.494612,127.063642,364310,345490
학여울,3호선,37.496663,127.070594,86502,88360
대청,3호선,37.493514,127.079532,281629,251237
일원,3호선,37.483681,127.08439,248985,261872
수서,3호선,37.487371,127.10188,491819,477277
가락시장,3호선,37.492522,127.118234,284423,276376
경찰병원,3호선,37.495918,127.12454,221547,221654
오금,3호선,37.502162,127.128111,200537,179359
당고개,4호선,37.670272,127.079066,380284,355806
상계,4호선,37.660878,127.073572,618894,555660
노원,4호선,37.655128,127.061368,670843,756173
창동,4호선,37.653166,127.047731,854272,914934
쌍문,4호선,37.648627,127.034709,969964,848894
수유(강북구청),4호선,37.638052,127.025732,1297968,1267094
미아(서울사이버대학),4호선,37.62667,127.025983,535343,490309
미아사거리,4호선,37.613292,127.030053,945948,924241
길음,4호선,37.603407,127.025053,745874,706030
성신여대입구(돈암),4호선,37.592624,127.016403,734864,691597
한성대입구(삼선교),4호선,37.588458,127.006221,432979,413790
혜화,4호선,37.582336,127.001844,1200896,1262093
동대문,4호선,37.57142,127.009745,689481,707144
개포동,분당선,37.489116,127.06614,101873,102731
대모산입구,분당선,37.491373,127.07272,96288,87308
수서,분당선,37.487371,127.10188,367427,365005
복정,분당선,37.470047,127.126662,3,0
서울숲,분당선,37.543617,127.044707,176340,173240
압구정로데오,분당선,37.527381,127.040534,420989,472524
강남구청,분당선,37.517186,127.04128,241665,280652
선정릉,분당선,37.51098,127.043593,220297,241457
동대문역사문화공원,4호선,37.565138,127.007896,662279,600116
충무로,4호선,37.561243,126.99428,886152,913004
명동,4호선,37.560989,126.986325,1156227,1256823
회현(남대문시장),4호선,37.558514,126.978246,821365,855920
서울역,4호선,37.554648,126.972559,335456,589596
숙대입구(갈월),4호선,37.54456,126.972106,445725,440484
삼각지,4호선,37.534777,126.97311,145659,176413
신용산,4호선,37.52917,126.967894,377708,397659
이촌(국립중앙박물관),4호선,37.522272,126.974345,306326,330685
동작(현충원),4호선,37.502971,126.979306,64257,67255
총신대입구(이수),4호선,37.486263,126.981989,630420,708562
사당,4호선,37.47653,126.981685,853030,705656
남태령,4호선,37.463873,126.989134,47486,27382
방화,5호선,37.577446,126.812741,213570,202445
개화산,5호선,37.572399,126.806171,173825,161603
김포공항,5호선,37.562434,126.801058,237358,206708
송정,5호선,37.561184,126.811973,274290,272110
마곡,5호선,37.560183,126.825448,138906,118664
발산,5호선,37.558598,126.837668,356690,354368
우장산,5호선,37.548768,126.836318,442717,439404
화곡,5호선,37.541513,126.840461,844996,785848
까치산,5호선,37.531768,126.846683,879519,837465
신정(은행정),5호선,37.524997,126.856191,418547,333982
목동,5호선,37.526065,126.864931,525703,560937
오목교(목동운동장앞),5호선,37.524496,126.875181,742919,795116
양평,5호선,37.525648,126.885778,178607,180164
영등포구청,5호선,37.52497,126.895951,94589,98319
영등포시장,5호선,37.522669,126.905139,242279,262373
신길,5호선,37.517122,126.917169,85031,98106
여의도,5호선,37.521624,126.924191,666218,724791
여의나루,5호선,37.527098,126.932901,202015,215953
마포,5호선,37.539574,126.945932,413063,426561
공덕,5호선,37.544018,126.951592,366753,386385
애오개,5호선,37.553736,126.95682,197096,199201
충정로(경기대입구),5호선,37.559973,126.963672,130244,132773
서대문,5호선,37.565773,126.966641,462503,472716
광화문(세종문화회관),5호선,37.571026,126.976669,1096746,1128711
종로3가,5호선,37.571607,126.991806,408743,402493
을지로4가,5호선,37.566941,126.998079,141956,159699
동대문역사문화공원,5호선,37.565138,127.007896,87204,102994
청구,5호선,37.560245,127.013828,112978,107485
신금호,5호선,37.554548,127.020331,168988,169317
행당,5호선,37.557322,127.029476,238505,209036
왕십리(성동구청),5호선,37.561533,127.037732,147065,174934
마장,5호선,37.5661,127.042973,180718,174071
답십리,5호선,37.566747,127.052704,464989,425536
장한평,5호선,37.56144,127.064623,525906,526338
군자(능동),5호선,37.557121,127.079542,315048,399324
아차산(어린이대공원후문),5호선,37.551691,127.089761,405405,385644
광나루(장신대),5호선,37.545303,127.10357,392510,351594
천호(풍납토성),5호선,37.538397,127.123572,607249,629382
강동,5호선,37.535804,127.132481,541370,466111
길동,5호선,37.537801,127.140004,220478,230610
굽은다리(강동구민회관앞),5호선,37.545477,127.142853,283462,267817
명일,5호선,37.55137,127.143999,232494,233498
회기,중앙선,37.58946,127.057583,779778,764281
중랑,중앙선,37.594917,127.076116,174583,165673
상봉(시외버스터미널),중앙선,37.596362,127.085032,160156,156670
망우,중앙선,37.59955,127.091909,237418,232024
양원,중앙선,37.606596,127.107906,45217,45091
고덕,5호선,37.555004,127.154151,236423,232185
상일동,5호선,37.556712,127.166417,310832,263100
둔촌동,5호선,37.527788,127.136248,365870,364610
올림픽공원(한국체대),5호선,37.516078,127.130848,149914,142150
방이,5호선,37.508857,127.126133,207192,209829
오금,5호선,37.502162,127.128111,102409,102146
