lat,lng,traffic
37.6278164211,126.836917632,0.0
37.6278164211,126.817535316,0.0
37.6278164211,126.798153,0.0
37.6401157368,127.166417,0.0
37.6401157368,127.147034684,0.0
37.6401157368,127.127652368,0.0
37.6401157368,127.108270053,0.0
37.6401157368,127.088887737,0.0
37.6401157368,127.069505421,1957509.0
37.6401157368,127.050123105,263994.0
37.6401157368,127.030740789,2565062.0
37.6401157368,127.011358474,0.0
37.6401157368,126.991976158,0.0
37.6401157368,126.972593842,0.0
37.6401157368,126.953211526,0.0
37.6401157368,126.933829211,0.0
37.6401157368,126.914446895,1104532.0
37.6401157368,126.895064579,0.0
37.6401157368,126.875682263,0.0
37.6401157368,126.856299947,0.0
37.6401157368,126.836917632,0.0
37.6401157368,126.817535316,0.0
37.6401157368,126.798153,0.0
37.6524150526,127.166417,0.0
37.6524150526,127.147034684,0.0
37.6524150526,127.127652368,0.0
37.6524150526,127.108270053,0.0
37.6524150526,127.088887737,0.0
37.6524150526,127.069505421,2722569.0
37.6524150526,127.050123105,1769208.0
37.6524150526,127.030740789,1818858.0
37.6524150526,127.011358474,0.0
37.6524150526,126.991976158,0.0
37.6524150526,126.972593842,0.0
37.6524150526,126.953211526,0.0
37.6524150526,126.933829211,0.0
37.6524150526,126.914446895,0.0
37.6524150526,126.895064579,0.0
37.6524150526,126.875682263,0.0
37.6524150526,126.856299947,0.0
37.6524150526,126.836917632,0.0
37.6524150526,126.817535316,0.0
37.6524150526,126.798153,0.0
37.6647143684,127.166417,0.0
37.6647143684,127.147034684,0.0
37.6647143684,127.127652368,0.0
37.6647143684,127.108270053,0.0
37.6647143684,127.088887737,0.0
37.6647143684,127.069505421,1910644.0
37.6647143684,127.050123105,1246296.0
37.6647143684,127.030740789,0.0
37.6647143684,127.011358474,0.0
37.6647143684,126.991976158,0.0
37.6647143684,126.972593842,0.0
37.6647143684,126.953211526,0.0
37.6647143684,126.933829211,0.0
37.6647143684,126.914446895,0.0
37.6647143684,126.895064579,0.0
37.6647143684,126.875682263,0.0
37.6647143684,126.856299947,0.0
37.6647143684,126.836917632,0.0
37.6647143684,126.817535316,0.0
37.6647143684,126.798153,0.0
37.6770136842,127.166417,0.0
37.6770136842,127.147034684,0.0
37.6770136842,127.127652368,0.0
37.6770136842,127.108270053,0.0
37.6770136842,127.088887737,0.0
37.6770136842,127.069505421,0.0
37.6770136842,127.050123105,1155264.0
37.6770136842,127.030740789,0.0
37.6770136842,127.011358474,0.0
37.6770136842,126.991976158,0.0
37.6770136842,126.972593842,0.0
37.6770136842,126.953211526,0.0
37.6770136842,126.933829211,0.0
37.6770136842,126.914446895,0.0
37.6770136842,126.895064579,0.0
37.6770136842,126.875682263,0.0
37.6770136842,126.856299947,0.0
37.6770136842,126.836917632,0.0
37.6770136842,126.817535316,0.0
37.6770136842,126.798153,0.0
37.689313,127.166417,0.0
37.689313,127.147034684,0.0
37.689313,127.127652368,0.0
37.689313,127.108270053,0.0
37.689313,127.088887737,0.0
37.689313,127.069505421,0.0
37.689313,127.050123105,901662.0
37.689313,127.030740789,0.0
37.689313,127.011358474,0.0
37.689313,126.991976158,0.0
37.689313,126.972593842,0.0
37.689313,126.953211526,0.0
37.689313,126.933829211,0.0
37.689313,126.914446895,0.0
37.689313,126.895064579,0.0
37.689313,126.875682263,0.0
37.689313,126.856299947,0.0
37.689313,126.836917632,0.0
37.689313,126.817535316,0.0
37.689313,126.798153,0.0
