lat,lng,area,year_bulit,price
37.4790232,126.9505176,18.7,2013,15600
37.4797221,126.9511717,30.25,2003,14200
37.4770052,126.9629494,24.24,2004,17300
37.4811128,126.9506666,20.5,2012,17000
37.4811128,126.9506666,14.55,2012,11000
37.4817613,126.9514527,49.27,2006,27900
37.4817613,126.9514527,36.93,2006,21700
37.4818178,126.9508471,49.68,2005,28000
37.4794101,126.9479923,15.28,1998,8200
37.4811734,126.9444012,15.1,2005,8150
37.4809094,126.948611,18.24,2010,12000
37.4937809,126.926805,23.84,2003,9500
37.4937809,126.926805,27.38,2003,10000
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,18.02,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,18.02,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,21.2,2002,9700
37.4896117,126.9215337,19.22,2002,9700
37.4822484,126.9289321,30.8,2011,18500
37.4822484,126.9289321,30.8,2011,18900
37.4822484,126.9289321,30.8,2011,18800
37.4851632,126.9299745,26.62,2004,15300
37.4775934,126.9381513,32.4,2004,14000
37.4704468,126.9344802,31.19,2013,19300
37.4834032,126.9274781,19.14,2014,12500
37.4834032,126.9274781,18.54,2014,11715
37.550692,127.1098669,169.29,1992,31000
37.540179,127.0953287,35.34,2001,13800
37.5389645,127.0916987,32.34,2000,12500
37.532544,127.0927043,33.06,1991,17000
37.544757,127.0832121,32.19,2003,15700
37.544757,127.0832121,41.29,2003,16900
37.544757,127.0832121,32.19,2003,14600
37.5400112,127.0835051,31.2,2003,14900
37.5327032,127.07586,29.48,2004,15000
37.5327032,127.07586,23.94,2004,13000
37.5469824,127.0729198,15.86,2015,13865
37.5470842,127.0718066,19.53,2014,16000
37.5470842,127.0718066,19.53,2014,16500
37.5478134,127.0687358,19.93,2013,12200
37.5478134,127.0687358,19.78,2013,13600
37.5476953,127.0686124,18.85,2013,14000
37.5476953,127.0686124,18.85,2013,14500
37.5476953,127.0686124,18.85,2013,15000
37.5476953,127.0686124,18.85,2013,15000
37.5407939,127.0690568,30.3,2006,19500
37.5407939,127.0690568,33.1,2006,20600
37.4789191,126.8948058,82.78,2006,25500
37.4789191,126.8948058,47.55,2006,19700
37.4793847,126.891685,30.0,2002,10200
37.4793847,126.891685,30.0,2002,10150
